r_non,r_lux,dl,dn,du,G_w85,G_w100,dl_w85,dn_w85,du_w85,dl_w100,dn_w100,du_w100
0.3925,0.209447679769229,-0.000873113819929053,0.414904035414551,0.153114307793542,0.00444135585927363,0.00453558646139451,-0.000873113819929053,0.414904035414551,0.153114307793542,-0.00102723000436957,0.484182955075336,0.179216781731398
0.395,0.208315083084146,-0.0075542305692782,0.425526364736425,0.153114307793542,0.00481945199825284,0.00492166469748234,-0.0075542305692782,0.425526364736425,0.153114307793542,-0.00889013152452544,0.496520434711324,0.179216781731398
0.3975,0.207182486399063,-0.0142565126076096,0.436127049400224,0.153114307793542,0.00521296470677957,0.00532348977346309,-0.0142565126076096,0.436127049400224,0.153114307793542,-0.0167823852388177,0.508832058404665,0.179216781731398
0.4,0.20604988971398,-0.0209801694095815,0.446706543577705,0.153114307793542,0.00562189592843487,0.00574106481594838,-0.0209801694095815,0.446706543577705,0.153114307793542,-0.0247043335636399,0.521118513196466,0.179216781731398
0.4025,0.204917293028898,-0.027725413280456,0.457265296316948,0.153114307793542,0.00604624833280987,0.00617439375293793,-0.027725413280456,0.457265296316948,0.153114307793542,-0.0326563243760372,0.533380478063733,0.179216781731398
0.405,0.203784696343815,-0.0344924594091592,0.467803751683824,0.153114307793542,0.00648602531343967,0.00662348131194424,-0.0344924594091592,0.467803751683824,0.153114307793542,-0.0406387111345623,0.545618624191597,0.179216781731398
0.4075,0.202652099658732,-0.0412815259225642,0.478322348900192,0.153114307793542,0.00694123098598687,0.00708833301842216,-0.0412815259225642,0.478322348900192,0.153114307793542,-0.0486518530034602,0.557833615238802,0.179216781731398
0.41,0.201519502973649,-0.0480928339410546,0.488821522478901,0.153114307793542,0.00741187018667011,0.00756895519449929,-0.0480928339410546,0.488821522478901,0.153114307793542,-0.0566961149803117,0.570026107596744,0.179216781731398
0.4125,0.200386906288566,-0.0549266076354008,0.499301702355754,0.153114307793542,0.00789794847093905,0.00806535495800986,-0.0549266076354008,0.499301702355754,0.153114307793542,-0.0647718680272557,0.582196750642335,0.179216781731398
0.415,0.199254309603483,-0.0617830742849881,0.509763314018514,0.153114307793542,0.00839947211239,0.008577540221823,-0.0617830742849881,0.509763314018514,0.153114307793542,-0.072879489205904,0.594346186984949,0.179216781731398
0.4175,0.1981217129184,-0.0686624643374358,0.520206778633066,0.153114307793542,0.0089164481019246,0.00910551969347295,-0.0686624643374358,0.520206778633066,0.153114307793542,-0.0810193618160813,0.606475052707465,0.179216781731398
0.42,0.196989116233317,-0.0755650114696492,0.53063251316684,0.153114307793542,0.0094488841471454,0.00964930287507992,-0.0755650114696492,0.53063251316684,0.153114307793542,-0.0891918755385217,0.618583977603437,0.179216781731398
0.4225,0.195856519548235,-0.0824909526503412,0.541040930509588,0.153114307793542,0.00999678867199216,0.0102089000635684,-0.0824909526503412,0.541040930509588,0.153114307793542,-0.0973974265816514,0.630673585404974,0.179216781731398
0.425,0.194723922863152,-0.0894405282040732,0.551432439591616,0.153114307793542,0.0105601708166121,0.0107843223511799,-0.0894405282040732,0.551432439591616,0.153114307793542,-0.105636417832606,0.642744494011622,0.179216781731398
0.4275,0.193591326178069,-0.0964139818768516,0.561807445499556,0.153114307793542,0.0111390404374704,0.0113755816262764,-0.0964139818768516,0.561807445499556,0.153114307793542,-0.113909259012633,0.654797315709536,0.179216781731398
0.43,0.192458729492986,-0.103411560903336,0.572166349589773,0.153114307793542,0.0117334081076924,0.0119826905744408,-0.103411560903336,0.572166349589773,0.153114307793542,-0.122216366837015,0.666832657388445,0.179216781731398
0.4325,0.191326132807903,-0.110433516075696,0.582509549599488,0.153114307793542,0.0123432851176432,0.0126056626798672,-0.110433516075696,0.582509549599488,0.153114307793542,-0.130558165179707,0.678851120753809,0.179216781731398
0.435,0.19019353612282,-0.117480101814172,0.592837439755704,0.153114307793542,0.0129686834757407,0.0132445122270484,-0.117480101814172,0.592837439755704,0.153114307793542,-0.138935085242818,0.690853302535055,0.179216781731398
0.4375,0.189060939437737,-0.124551576239394,0.603150410881856,0.153114307793542,0.0136096159095045,0.0138992543027556,-0.124551576239394,0.603150410881856,0.153114307793542,-0.147347565731133,0.702839794688804,0.179216781731398
0.44,0.187928342752654,-0.131648201246501,0.613448850503498,0.153114307793542,0.0142660958668436,0.0145699047983155,-0.131648201246501,0.613448850503498,0.153114307793542,-0.155796053031855,0.71481118460105,0.179216781731398
0.4425,0.186795746067572,-0.138770242581122,0.623733142948911,0.153114307793542,0.0149381375175615,0.0152564804121832,-0.138770242581122,0.623733142948911,0.153114307793542,-0.164281001399747,0.726768055282203,0.179216781731398
0.445,0.185663149382489,-0.145917969917283,0.634003669452715,0.153114307793542,0.0156257557551287,0.0159589986528149,-0.145917969917283,0.634003669452715,0.153114307793542,-0.172802873147878,0.738710985561423,0.179216781731398
0.4475,0.184530552697406,-0.153091656937276,0.644260808253228,0.153114307793542,0.0163289661986613,0.0166774778418404,-0.153091656937276,0.644260808253228,0.153114307793542,-0.181362138844174,0.750640550276674,0.179216781731398
0.45,0.183397956012323,-0.16029158141358,0.654504934690302,0.153114307793542,0.0170477851951528,0.0174119371175363,-0.16029158141358,0.654504934690302,0.153114307793542,-0.189959277513989,0.762557320461897,0.179216781731398
0.4525,0.18226535932724,-0.167518025292868,0.664736421300964,0.153114307793542,0.0177822298219412,0.0181623964386094,-0.167518025292868,0.664736421300964,0.153114307793542,-0.198594776848924,0.7744618635313,0.179216781731398
0.455,0.181132762642157,-0.174771274782188,0.674955637913462,0.153114307793542,0.0185323178894155,0.0189288765882816,-0.174771274782188,0.674955637913462,0.153114307793542,-0.207269133422117,0.786354743460907,0.179216781731398
0.4575,0.180000165957074,-0.182051620437373,0.685162951739745,0.153114307793542,0.0192980679439628,0.0197113991786908,-0.182051620437373,0.685162951739745,0.153114307793542,-0.215982852910256,0.79823652096753,0.179216781731398
0.46,0.178867569271991,-0.18935935725375,0.695358727466528,0.153114307793542,0.020079499271162,0.0205099866556033,-0.18935935725375,0.695358727466528,0.153114307793542,-0.224736450322567,0.8101077536853,0.179216781731398
0.4625,0.177734972586909,-0.19669478475923,0.705543327344507,0.153114307793542,0.0208766318992155,0.0213246623034454,-0.19669478475923,0.705543327344507,0.153114307793542,-0.233530450237036,0.821968996339915,0.179216781731398
0.465,0.176602375901826,-0.204058207109841,0.715717111277241,0.153114307793542,0.0216894866026389,0.0221554502506558,-0.204058207109841,0.715717111277241,0.153114307793542,-0.242365387044155,0.833820800920732,0.179216781731398
0.4675,0.175469779216743,-0.211449933187794,0.725880436907326,0.153114307793542,0.0225180849061887,0.0230023754753661,-0.211449933187794,0.725880436907326,0.153114307793542,-0.251241805198465,0.845663716850856,0.179216781731398
0.47,0.17433718253166,-0.218870276702153,0.736033659702352,0.153114307793542,0.0233624490890494,0.0238654638114111,-0.218870276702153,0.736033659702352,0.153114307793542,-0.260160259478208,0.857498291155355,0.179216781731398
0.4725,0.173204585846577,-0.2263195562922,0.746177133039231,0.153114307793542,0.0242226021892742,0.0247447419546756,-0.2263195562922,0.746177133039231,0.153114307793542,-0.269121315253413,0.869325068627722,0.179216781731398
0.475,0.172071989161494,-0.23379809563358,0.756311208287444,0.153114307793542,0.0250985680084819,0.0256402374697818,-0.23379809563358,0.756311208287444,0.153114307793542,-0.278125548762722,0.881144591994744,0.179216781731398
0.4775,0.170939392476411,-0.241306223547314,0.766436234891184,0.153114307793542,0.0259903711168168,0.0265519787971263,-0.241306223547314,0.766436234891184,0.153114307793542,-0.28717354739933,0.892957402079873,0.179216781731398
0.48,0.169806795791329,-0.248844274111775,0.77655256045044,0.153114307793542,0.0268980368581726,0.0274799952602671,-0.248844274111775,0.77655256045044,0.153114307793542,-0.296265910006378,0.904764037965248,0.179216781731398
